,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following,tweets
26,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",4/1/2013,Boston,Communications Infrastructure,10-Jan,Acquired,890000,seratis.com,7.153424658,124415.9326,0,0,5,1,0,2
27,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",11/1/2013,New York City,Bioinformatics,10-Jan,Seed,3900000,solvebio.com,6.567123288,593867.3342,1,0,5,9,0,1
28,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",10/1/2013,San Francisco,,10-Jan,Acquired,2300000,rise.us,6.652054795,345757.8254,1,0,5,2290,289,2404
29,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",9/1/2016,New York City,Machine Learning,Nov-50,Seed,7930000,dmetrics.com,3.731506849,2125146.843,1,0,25,1,6,4
30,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",9/1/2013,Wroc?Çaw,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575,542005.6957,1,0,125,2614,1241,1002
31,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",10/1/2015,Los Angeles,Women-Focused,Nov-50,Seed,4005000,mahmee.com,4.652054795,860909.894,1,0,25,21,38,881
32,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",3/1/2014,San Francisco,Communications Hardware,Nov-50,-,1845000,ava.me,6.238356164,295750.9881,0,0,25,0,0,0
33,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",1/1/2015,San Francisco,Predictive Analytics,Nov-50,Seed,4300000,careskore.com,5.4,796296.2963,1,0,25,353,906,1296
34,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",5/1/2015,San Diego,Assisitive Technology,Nov-50,Seed,4080000,aira.io,5.071232877,804538.0875,1,0,25,2367,777,2705
35,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",3/1/2016,San Francisco,International Development,Nov-50,Series A,8003365,zenysis.com,4.235616438,1889539.602,1,0,25,254,288,131
36,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",5/1/2011,Toronto,Insurance,10-Jan,Seed,1350000,titanfile.com,9.073972603,148777.1739,0,0,5,754,625,2171
37,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",6/1/2014,New York City,Health Care Information Technology,Nov-50,Series A,6125000,cureatr.com,5.98630137,1023169.336,1,0,25,556,428,943
38,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",11/1/2011,Baltimore,Mobile Health,10-Jan,Seed,870000,sickweather.com,8.569863014,101518.5422,0,0,5,3409,941,6094
39,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",3/1/2012,San Francisco,Health Care Information Technology,10-Jan,Seed,2500000,agilemd.com,8.238356164,303458.5966,1,0,5,482,95,233
40,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",3/1/2014,London,Fast-Moving Consumer Goods,Nov-50,Seed,1020000,digital-mr.com,6.238356164,163504.6113,0,0,25,4563,4298,6113
41,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",1/1/2013,Boston,Personal Health,10-Jan,Seed,4400000,happier.com,7.4,594594.5946,1,0,5,14416,857,9799
42,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",8/1/2013,Paris,Music Education,Nov-50,Seed,888350,meludia.com,6.819178082,130272.2981,0,0,25,0,3,3
43,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",3/1/2013,Provo,Startups,Nov-50,Acquired,7700000,tutegenomics.com,7.238356164,1063777.441,1,0,25,0,0,0
44,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",4/1/2013,Boston,Communications Infrastructure,10-Jan,Acquired,890000,seratis.com,7.153424658,124415.9326,0,0,5,1,0,2
45,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",11/1/2013,New York City,Bioinformatics,10-Jan,Seed,3900000,solvebio.com,6.567123288,593867.3342,1,0,5,9,0,1
46,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",10/1/2013,San Francisco,,10-Jan,Acquired,2300000,rise.us,6.652054795,345757.8254,1,0,5,2290,289,2404
47,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",9/1/2016,New York City,Machine Learning,Nov-50,Seed,7930000,dmetrics.com,3.731506849,2125146.843,1,0,25,1,6,4
48,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",9/1/2013,Wroc?Çaw,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575,542005.6957,1,0,125,2614,1241,1002
49,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",10/1/2015,Los Angeles,Women-Focused,Nov-50,Seed,4005000,mahmee.com,4.652054795,860909.894,1,0,25,21,38,881
50,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",3/1/2014,San Francisco,Communications Hardware,Nov-50,-,1845000,ava.me,6.238356164,295750.9881,0,0,25,0,0,0
51,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",1/1/2015,San Francisco,Predictive Analytics,Nov-50,Seed,4300000,careskore.com,5.4,796296.2963,1,0,25,353,906,1296
52,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",5/1/2015,San Diego,Assisitive Technology,Nov-50,Seed,4080000,aira.io,5.071232877,804538.0875,1,0,25,2367,777,2705
53,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",3/1/2016,San Francisco,International Development,Nov-50,Series A,8003365,zenysis.com,4.235616438,1889539.602,1,0,25,254,288,131
54,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",5/1/2011,Toronto,Insurance,10-Jan,Seed,1350000,titanfile.com,9.073972603,148777.1739,0,0,5,754,625,2171
55,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",6/1/2014,New York City,Health Care Information Technology,Nov-50,Series A,6125000,cureatr.com,5.98630137,1023169.336,1,0,25,556,428,943
56,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",11/1/2011,Baltimore,Mobile Health,10-Jan,Seed,870000,sickweather.com,8.569863014,101518.5422,0,0,5,3409,941,6094
57,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",3/1/2012,San Francisco,Health Care Information Technology,10-Jan,Seed,2500000,agilemd.com,8.238356164,303458.5966,1,0,5,482,95,233
58,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",3/1/2014,London,Fast-Moving Consumer Goods,Nov-50,Seed,1020000,digital-mr.com,6.238356164,163504.6113,0,0,25,4563,4298,6113
59,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",1/1/2013,Boston,Personal Health,10-Jan,Seed,4400000,happier.com,7.4,594594.5946,1,0,5,14416,857,9799
60,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",8/1/2013,Paris,Music Education,Nov-50,Seed,888350,meludia.com,6.819178082,130272.2981,0,0,25,0,3,3
61,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",3/1/2013,Provo,Startups,Nov-50,Acquired,7700000,tutegenomics.com,7.238356164,1063777.441,1,0,25,0,0,0
62,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",4/1/2013,Boston,Communications Infrastructure,10-Jan,Acquired,890000,seratis.com,7.153424658,124415.9326,0,0,5,1,0,2
63,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",11/1/2013,New York City,Bioinformatics,10-Jan,Seed,3900000,solvebio.com,6.567123288,593867.3342,1,0,5,9,0,1
64,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",10/1/2013,San Francisco,,10-Jan,Acquired,2300000,rise.us,6.652054795,345757.8254,1,0,5,2290,289,2404
65,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",9/1/2016,New York City,Machine Learning,Nov-50,Seed,7930000,dmetrics.com,3.731506849,2125146.843,1,0,25,1,6,4
66,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",9/1/2013,Wroc?Çaw,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575,542005.6957,1,0,125,2614,1241,1002
67,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",10/1/2015,Los Angeles,Women-Focused,Nov-50,Seed,4005000,mahmee.com,4.652054795,860909.894,1,0,25,21,38,881
68,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",3/1/2014,San Francisco,Communications Hardware,Nov-50,-,1845000,ava.me,6.238356164,295750.9881,0,0,25,0,0,0
69,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",1/1/2015,San Francisco,Predictive Analytics,Nov-50,Seed,4300000,careskore.com,5.4,796296.2963,1,0,25,353,906,1296
70,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",5/1/2015,San Diego,Assisitive Technology,Nov-50,Seed,4080000,aira.io,5.071232877,804538.0875,1,0,25,2367,777,2705
71,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",3/1/2016,San Francisco,International Development,Nov-50,Series A,8003365,zenysis.com,4.235616438,1889539.602,1,0,25,254,288,131
72,Startup,https://angel.co/company/dna-guide,DNA Guide,"
Mapping the Genome
",8/1/2011,San Francisco,Bioinformatics,10-Jan,Seed,25000,dnaguide.com,8.821917808,2833.850932,0,0,5,0,0,0
73,Startup,https://angel.co/company/handle-my-health,Handle My Health,"
Reclaim your health
",6/1/2012,London,Internet of Things,10-Jan,Acquired,404882,handlemyhealth.com,7.98630137,50697.06003,0,0,5,0,0,0
74,Startup,https://angel.co/company/treatspace,Treatspace,"
Enterprise health networks for practices and hospitals
",2/1/2014,Pittsburgh,Mobile Health,10-Jan,Seed,25000,treatspace.com,6.315068493,3958.785249,0,0,5,560,433,500
75,Startup,https://angel.co/company/sweatguru,SweatGuru,"
Bringing people together around fitness 
",10/1/2012,San Francisco,Fitness,10-Jan,Seed,500000,sweatguru.com,7.652054795,65341.92624,0,0,5,0,0,0
76,Startup,https://angel.co/company/i-deed-it,I Deed It,"
creative platform for employee engagement
",1/1/2013,Sofia,Human Resources,10-Jan,Seed,95000,ideedit.com,7.4,12837.83784,0,0,5,0,0,0
77,Startup,https://angel.co/company/open-health-network,Open Health Network,"
Powered by AI,Big Data & Blockchain Patient Experience Management Platform
",3/1/2013,Los Altos,Mobile Health,Nov-50,Pre-Seed,500000,openhealth.cc,7.238356164,69076.45723,0,0,25,0,0,0
78,Startup,https://angel.co/company/klinify,klinify,"
Digital Medical Assistant 
",2/1/2013,Singapore,Mobile Health,Nov-50,Acquired,605000,klinify.com,7.315068493,82705.99251,0,0,25,207,892,431
79,Startup,https://angel.co/company/rippedathlete,RippedAthlete,"
Custom Weekly Meal Plans and Shopping Lists
",3/1/2013,New York City,Fitness,10-Jan,Seed,10000,rippedathlete.com,7.238356164,1381.529145,0,0,5,8,7,8
80,Startup,https://angel.co/company/insample,InSample,"
Intelligence for Health Outcomes
",3/1/2013,San Francisco,SaaS,10-Jan,Seed,50000,insample.com,7.238356164,6907.645723,0,0,5,0,1,15
81,Startup,https://angel.co/company/you-app,Fifth Corner Inc.,"
Wellbeing and performance coaching for modern organizations
",3/1/2013,Helsinki,B2B,10-Jan,Seed,550000,fifthcornerinc.com,7.238356164,75984.10295,0,0,5,0,0,0
82,Startup,https://angel.co/company/operating-analytics,Operating Analytics,"
Forecasting SaaS to help hospitals do more surgeries
",3/1/2013,Cambridge,Hospitals,10-Jan,Seed,50000,operatinganalytics.com,7.238356164,6907.645723,0,0,5,0,0,0
83,Startup,https://angel.co/company/protocolsioplatform,protocols.io,"
The #1 platform for designing and publishing science methods
",4/1/2013,Berkeley,Biotechnology,Nov-50,Seed,780000,protocols.io,7.153424658,109038.6825,0,0,25,0,0,0
84,Startup,https://angel.co/company/lynxfit,LynxFit (Pivot),"
EXPERT & DATA DRIVEN FITNESS
",10/1/2013,Washington DC,Fitness,10-Jan,Seed,70000,lynxfit.com,6.652054795,10523.06425,0,0,5,0,0,0
85,Startup,https://angel.co/company/swan-sleep-solutions,SWAN Sleep Solutions,"
Corporate Wellness Rests on Sleep
",12/1/2013,Mountain View,Corporate Wellness,10-Jan,Seed,100000,SwanMedical.com,6.484931507,15420.36333,0,0,5,0,0,0
86,Startup,https://angel.co/company/nuvenote,Nuvenote,"
Intuitive appointment notes for doctors
",2/1/2014,Paris,Mobile Health,10-Jan,Seed,50000,nuvenote.com,6.315068493,7917.570499,0,0,5,149,470,986
87,Startup,https://angel.co/company/zakipoint-health,zakipoint health,"
improve value from healthcare program spend for self-funded employers
",2/1/2014,Cambridge,Big Data Analytics,10-Jan,Seed,610000,zakipointhealth.com,6.315068493,96594.36009,0,0,5,0,0,0
88,Startup,https://angel.co/company/superdoc-app-ask-a-doctor,Superdoc,"
Instant Doctor Chat 24*7 for taboo issues related to sexual & mental health
",8/1/2015,San Francisco,Mobile Health,Nov-50,Seed,62000,play.google.com,4.819178082,12865.26435,0,0,25,10,0,12
89,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2/1/2011,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219,5229234.049,1,1,125,9659,10604,8087
90,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",7/1/2011,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315,9430944.325,1,1,750,31033,8157,58084
91,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",7/1/2013,Oakland,Bioinformatics,Nov-50,Series B,23000000,fabricgenomics.com,6.904109589,3331349.206,1,1,25,0,0,0
92,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",1/1/2012,Austin,Hospitality,51-200,Series B,16000000,chewse.com,8.402739726,1904140.854,1,1,125,1531,1313,1656
93,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",2/1/2012,Radnor,Bioinformatics,51-200,Series C,59500000,syapse.com,8.317808219,7153326.746,1,1,125,1705,254,1676
94,Startup,https://angel.co/company/omada-health-1,Omada Health,"
Omada¬Æ empowers people to achieve their health goals, one step at a time
",9/1/2013,San Francisco,Therapeutics,201-500,Series C,71000000,omadahealth.com,6.734246575,10543124.49,1,1,350,0,0,0
95,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",6/1/2013,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.98630137,10262941.18,1,1,125,551,1546,6214
96,Startup,https://angel.co/company/myfitnesspal,MyFitnessPal,"
Nutrition and fitness tracking
",4/1/2012,San Francisco,Fitness,51-200,Acquired,18000000,myfitnesspal.com,8.153424658,2207661.29,1,1,125,183728,80,13022
97,Startup,https://angel.co/company/onehealth-solutions,OneHealth Solutions,"
Social peer support platform to improve health outcomes
",5/1/2012,Solana Beach,Social Media Platforms,Nov-50,Acquired,16000000,onehealth.com,8.071232877,1982348.948,1,1,25,0,0,0
98,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",5/1/2013,San Mateo,Real Time,Nov-50,Series A,16624982,humanapi.co,7.071232877,2351072.619,1,1,25,0,0,0
99,Startup,https://angel.co/company/babyscripts-by-1eq,Babyscripts,"
Virtual Care for Obstetrics
",3/1/2013,Washington DC,Hospitals,Nov-50,Series A,19000000,babyscripts.com,7.238356164,2624905.375,1,1,25,748,483,1078
100,Startup,https://angel.co/company/kinsa,Kinsa,"
The world's smartest thermometer
",4/1/2013,San Francisco,Mobile Health,Nov-50,Series B,28600000,kinsahealth.com,7.153424658,3998085.025,1,1,25,15238,3484,8420
101,Startup,https://angel.co/company/station-x,Station X,"
Decoding genomes for better healthcare
",10/1/2013,San Francisco,Diagnostics,Nov-50,Series A,15875000,stationxinc.com,6.652054795,2386480.643,1,1,25,0,0,0
102,Startup,https://angel.co/company/soothe,Soothe,"
Massage Delivered To You
",6/1/2014,Los Angeles,,10-Jan,Series B,47300000,soothe.com,5.98630137,7901372.998,1,1,5,4635,1871,5148
103,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",4/1/2014,San Francisco,Small and Medium Businesses,Nov-50,Seed,46150000,amino.com,6.153424658,7499888.691,1,1,25,0,0,0
104,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",7/1/2015,Boston,Fitness,51-200,Series C,47000000,whoop.com,4.904109589,9583798.883,1,1,125,20163,248,10917
105,Startup,https://angel.co/company/heal,Every.org,"
On-demand doctor house calls
",10/1/2014,-,Sharing Economy,51-200,Series B,48200000,heal.com,5.652054795,8527872.031,1,1,125,0,0,0
106,Startup,https://angel.co/company/luma-health,Luma Health,"
Total patient engagement with Luma Health
",3/1/2015,San Francisco,Doctors,51-200,-,29100000,lumahealth.io,5.238356164,5555177.824,1,1,125,0,0,0
107,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",6/1/2014,New York City,Health Care Information Technology,Nov-50,Series A,6125000,cureatr.com,5.98630137,1023169.336,1,0,25,556,428,943
108,Startup,https://angel.co/company/carelinx,CareLinx,"
Caregiver Marketplace:  Disrupting the $100B+ in-home care market. AARP Winner!
",5/1/2012,San Francisco,Baby Boomers,10-Jan,Acquired,7000000,carelinx.com,8.071232877,867277.6646,1,0,5,4877,5352,3942
109,Startup,https://angel.co/company/fit3d,Fit3D,"
Using 3D scanners, resulting data, and predictive AI solutions to solve massive problems
",2/1/2013,San Mateo,Fitness,Nov-50,Seed,5390000,fit3d.com,7.315068493,736835.206,1,0,25,1447,3944,1513
110,Startup,https://angel.co/company/acupera,Acupera,"
Population Health Platform
",3/1/2013,San Francisco,Health Care Information Technology,Nov-50,Series A,4000000,acupera.com,7.238356164,552611.6578,1,0,25,131,337,648
111,Startup,https://angel.co/company/rubiconmd,RubiconMD,"
Expert insights and better care. eConsults that connect clinicians to top specialists
",3/1/2013,New York City,Mobile Health,Nov-50,Series A,5300000,rubiconmd.com,7.238356164,732210.4466,1,0,25,6,35,0
112,Startup,https://angel.co/company/transitscreen,TransitScreen,"
Helping corporate workplaces enhance the commute experience
",5/1/2013,Washington DC,Corporate Wellness,Nov-50,Closed,4475000,transitscreen.com,7.071232877,632845.7962,1,0,25,4412,433,9300
113,Startup,https://angel.co/company/wecounsel,WeCounsel,"
Telemedicine Software Service With An Emphasis In Mental Health
",5/1/2013,Chattanooga,Mental Health,10-Jan,Series A,4400000,wecounsel.com,7.071232877,622239.4421,1,0,5,1512,1616,2717
114,Startup,https://angel.co/company/livesafe,LiveSafe,"
",9/1/2013,-,Sports Stadiums,Nov-50,Series A,15750000,livesafemobile.com,6.734246575,2338791.701,1,1,25,2282,1094,4117
115,Startup,https://angel.co/company/madaket-health,Madaket Health,"
Connecting healthcare providers, insurance companies and intermediaries
",12/1/2014,Cambridge,B2B,Nov-50,Series B,10000000,madakethealth.com,5.484931507,1823176.823,1,0,25,0,0,0
116,Startup,https://angel.co/company/opternative,Visibly,"
The most convenient way to get a prescription for glasses or contacts
",8/1/2013,Chicago,Eyewear,Nov-50,Series A,9100000,govisibly.com,6.819178082,1334471.675,1,0,25,1,1,0
117,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",11/1/2013,New York City,Bioinformatics,10-Jan,Seed,3900000,solvebio.com,6.567123288,593867.3342,1,0,5,9,0,1
118,Startup,https://angel.co/company/volt-athletics,Volt Athletics,"
The first performance training AI for everyone
",9/1/2013,Seattle,Fitness,Nov-50,Seed,3791474,voltathletics.com,6.734246575,563013.8365,1,0,25,0,0,0
119,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",12/1/2013,Portland,Mobile Health,Nov-50,Series B,11500000,bright.md,6.484931507,1773341.783,1,0,25,0,0,0
120,Startup,https://angel.co/company/erelevance,eRelevance,"
Progressive Patient Engagement Service for Healthcare Providers
",1/1/2014,Austin,Health Care Information Technology,10-Jan,Seed,7200000,erelevencecorp.com,6.4,1125000,1,0,5,0,0,0
121,Startup,https://angel.co/company/doctible,Doctible,"
Helping private practices to grow and thrive by driving patient retention
",1/1/2014,San Diego,SaaS,51-200,Seed,4200000,doctible.com,6.4,656250,1,0,125,474,212,503
122,Startup,https://angel.co/company/8fit,8fit,"
Building healthy habits for life
",2/1/2014,Berlin,Fitness,51-200,Series A,9500000,8fit.com,6.315068493,1504338.395,1,0,125,3989,557,3580
